                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0629,                  3.516,                  4.188,                0.00349,                0.81452,                0.16517,                0.04719,                 2.7573,                 3.6683,                  4.154,                0.00024,                0.00024,                0.00024
                      2,                 3.0616,                  3.411,                 4.1304,                0.00351,                0.81452,                0.23408,                0.07583,                 2.7383,                 3.6786,                 4.1296,             0.00049505,             0.00049505,             0.00049505
                      3,                 3.0335,                 3.4139,                 4.0544,                0.00352,                0.82258,                0.21791,                0.06234,                 2.6853,                 3.6854,                 4.0259,             0.00074495,             0.00074495,             0.00074495
                      4,                 2.9566,                 3.3389,                 3.9076,                0.00342,                0.81452,                0.11595,                0.02562,                 2.6724,                 3.8093,                 3.7275,             0.00098971,             0.00098971,             0.00098971
                      5,                 3.0017,                 3.3015,                 3.7611,                  0.015,                0.67742,                0.04465,                 0.0132,                 2.6907,                 4.3622,                 3.7368,              0.0012293,              0.0012293,              0.0012293
                      6,                 2.8786,                 3.2966,                  3.687,                0.02041,                0.64516,                 0.1179,                0.03463,                 2.7246,                 7.9088,                 3.9754,              0.0014638,              0.0014638,              0.0014638
                      7,                  2.734,                 3.2154,                 3.5448,                0.01826,                0.66935,                 0.1001,                0.02999,                 2.6686,                 5.8287,                 3.8359,              0.0016931,              0.0016931,              0.0016931
                      8,                 2.7063,                 3.2209,                 3.4952,                0.02774,                0.60484,                0.13725,                0.05185,                 2.6848,                 16.169,                 3.7345,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.7277,                 3.2388,                   3.44,                0.03619,                0.58065,                 0.0632,                 0.0229,                 2.6853,                 6.0131,                 3.7903,              0.0018614,              0.0018614,              0.0018614
                     10,                 2.7022,                 3.1912,                 3.3523,                0.02145,                0.59677,                0.02812,                0.00816,                 2.6573,                 3.6519,                 3.7129,              0.0018416,              0.0018416,              0.0018416
                     11,                 2.5056,                  3.127,                 3.2204,                0.01673,                0.09677,                0.02451,                0.00788,                  2.619,                 3.7891,                 3.3945,              0.0018218,              0.0018218,              0.0018218
                     12,                 2.5199,                 3.0631,                 3.1697,                0.02189,                0.28226,                0.01518,                0.00523,                 2.6676,                   4.08,                 3.5374,               0.001802,               0.001802,               0.001802
                     13,                 2.5312,                 3.0513,                 3.1317,                0.02721,                0.29839,                0.01902,                0.00533,                 2.7033,                 3.8796,                  3.457,              0.0017822,              0.0017822,              0.0017822
                     14,                  2.445,                 3.0169,                 3.1181,                0.06039,                0.20968,                0.03931,                0.01042,                 2.5699,                 3.5807,                 3.3489,              0.0017624,              0.0017624,              0.0017624
                     15,                  2.509,                 3.0007,                 3.1105,                0.17173,                  0.306,                0.14617,                0.04282,                  2.425,                 3.6564,                 3.2186,              0.0017426,              0.0017426,              0.0017426
                     16,                 2.4336,                 2.9702,                  3.046,                 0.3069,                0.27419,                0.20113,                 0.0625,                 2.4338,                 3.7825,                 3.2523,              0.0017228,              0.0017228,              0.0017228
                     17,                 2.4832,                 2.9582,                 3.0469,                0.23422,                0.29354,                0.18121,                0.05491,                 2.3541,                 3.5582,                  3.107,               0.001703,               0.001703,               0.001703
                     18,                 2.3875,                 2.8792,                 3.0281,                0.22243,                0.20968,                0.17085,                0.07308,                 2.2907,                 4.5683,                 3.0783,              0.0016832,              0.0016832,              0.0016832
                     19,                 2.3695,                 2.8658,                 3.0003,                0.15019,                0.52419,                0.17173,                0.06052,                 2.2948,                 3.4392,                  3.106,              0.0016634,              0.0016634,              0.0016634
                     20,                 2.3391,                 2.9038,                 2.9764,                0.06575,                0.12097,                0.08911,                0.02895,                 2.2974,                 3.6488,                 3.0135,              0.0016436,              0.0016436,              0.0016436
                     21,                 2.3156,                 2.7647,                 2.9388,                0.16819,                0.40323,                0.21215,                0.06884,                 2.4233,                 2.8463,                 3.1699,              0.0016238,              0.0016238,              0.0016238
                     22,                 2.3233,                 2.7833,                 2.8975,                0.19848,                0.31452,                0.17842,                0.06027,                 2.5059,                 2.9945,                 3.3519,               0.001604,               0.001604,               0.001604
                     23,                 2.3198,                 2.7391,                 2.8941,                0.21205,                0.25806,                0.14381,                0.05273,                 2.4142,                 2.8666,                 3.1118,              0.0015842,              0.0015842,              0.0015842
                     24,                 2.2431,                 2.6144,                 2.8661,                0.19795,                0.22581,                0.11367,                0.03724,                 2.3841,                 3.0463,                 3.1443,              0.0015644,              0.0015644,              0.0015644
                     25,                 2.2813,                 2.6002,                 2.8675,                0.12458,                0.08871,                0.08633,                0.03042,                 2.3606,                 3.0352,                 3.2643,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.2329,                 2.5991,                 2.8327,                0.23458,                0.30645,                0.22021,                0.08697,                 2.1523,                 3.5659,                 2.9103,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.2426,                 2.6399,                 2.7859,                0.19036,                0.28226,                0.16979,                0.06633,                 2.0606,                 3.3684,                 2.7934,               0.001505,               0.001505,               0.001505
                     28,                 2.1605,                 2.5085,                 2.7428,                0.25991,                 0.3871,                0.19737,                0.07365,                  2.204,                 2.9779,                 2.9126,              0.0014852,              0.0014852,              0.0014852
