                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0252,                 3.8689,                 4.1391,                0.00196,                0.95726,                0.15189,                0.06911,                 2.0591,                  11.74,                 3.4563,                0.00062,                0.00062,                0.00062
                      2,                 2.9236,                 3.7272,                 3.9259,                0.01069,                0.76068,                0.01578,                0.00481,                 2.2336,                 416.92,                  7.021,              0.0012184,              0.0012184,              0.0012184
                      3,                 2.8035,                 3.6731,                 3.6856,                0.03397,                0.64103,                0.07046,                0.01618,                 3.0605,                  46.39,                 6.1664,              0.0017746,              0.0017746,              0.0017746
                      4,                 2.7327,                 3.6104,                 3.5224,                0.00521,                0.80342,                0.11216,                0.02988,                 2.1147,                  9.958,                 2.9652,               0.001802,               0.001802,               0.001802
                      5,                 2.6931,                 3.4669,                 3.3511,                0.08662,                0.29915,                0.06768,                0.01693,                 2.0383,                 26.618,                 2.7691,               0.001802,               0.001802,               0.001802
                      6,                 2.5588,                 3.4985,                 3.2662,                0.04797,                0.29915,                0.05476,                0.01505,                 2.0145,                 18.387,                 2.7971,               0.001736,               0.001736,               0.001736
                      7,                 2.5451,                 3.3576,                 3.1735,                0.11934,                0.23932,                0.09952,                0.03424,                 1.9154,                 15.128,                 2.6927,                0.00167,                0.00167,                0.00167
                      8,                 2.4981,                 3.4006,                 3.1473,                0.08206,                0.34188,                0.08959,                0.03003,                 1.9103,                 8.1838,                  2.678,               0.001604,               0.001604,               0.001604
                      9,                 2.5337,                 3.3239,                 3.1535,                0.00805,                0.83761,                0.02139,                0.00516,                 2.1232,                 4.1411,                  3.025,               0.001538,               0.001538,               0.001538
                     10,                 2.5233,                  3.264,                 3.1042,                0.09211,                0.13675,                0.07239,                0.01794,                 2.1531,                  3.758,                 2.9789,               0.001472,               0.001472,               0.001472
                     11,                 2.4556,                 3.2216,                 3.0318,                0.01861,                0.69231,                0.05672,                0.01612,                 2.0366,                  5.778,                 2.7098,               0.001406,               0.001406,               0.001406
                     12,                 2.4523,                 3.1782,                  2.992,                 0.1517,                0.02564,                0.02056,                0.00687,                 2.0008,                 4.3891,                 3.0225,                0.00134,                0.00134,                0.00134
                     13,                 2.3708,                 3.0421,                 2.9286,                0.02434,                 0.7094,                0.08525,                0.02519,                 2.1705,                 3.7441,                 2.9495,               0.001274,               0.001274,               0.001274
                     14,                 2.3756,                 3.0485,                 2.9601,                0.09321,                0.47009,                0.07697,                0.02782,                 1.9849,                 3.8262,                 2.7523,               0.001208,               0.001208,               0.001208
                     15,                 2.2961,                 2.9593,                 2.8684,                0.15599,                0.26496,                0.13402,                0.04128,                 1.8901,                 8.1431,                 2.5537,               0.001142,               0.001142,               0.001142
                     16,                 2.3042,                 2.8735,                 2.8731,                0.13503,                0.30769,                0.10672,                 0.0298,                 1.8739,                  5.608,                 2.5676,               0.001076,               0.001076,               0.001076
                     17,                 2.3498,                 2.8886,                 2.8439,                0.24201,                0.35897,                0.19937,                0.06534,                 1.8261,                 6.7687,                 2.4535,                0.00101,                0.00101,                0.00101
                     18,                 2.2853,                 2.8336,                 2.8142,                 0.1524,                0.13675,                0.11173,                 0.0403,                 1.8339,                 4.1699,                 2.5139,               0.000944,               0.000944,               0.000944
                     19,                 2.2294,                   2.79,                 2.7583,                0.16298,                0.47009,                 0.1312,                0.04717,                 1.8506,                 5.6409,                 2.5004,               0.000878,               0.000878,               0.000878
                     20,                 2.2724,                 2.7397,                 2.8152,                0.14258,                0.44444,                0.13122,                0.04457,                 1.8625,                 5.4149,                 2.5399,               0.000812,               0.000812,               0.000812
                     21,                 2.1025,                 2.9026,                  2.785,                0.14293,                0.35897,                0.12996,                  0.048,                  1.822,                 3.9189,                 2.4932,               0.000746,               0.000746,               0.000746
                     22,                 2.0673,                 2.6418,                 2.7423,                0.17493,                0.40171,                0.16898,                0.07149,                 1.6656,                 6.7953,                 2.2673,                0.00068,                0.00068,                0.00068
                     23,                 1.9657,                  2.585,                 2.6627,                0.26659,                0.33333,                0.22814,                0.09357,                 1.7371,                 5.4691,                 2.3615,               0.000614,               0.000614,               0.000614
                     24,                 1.9365,                 2.4738,                 2.6697,                0.18367,                0.38462,                0.14448,                0.05584,                 1.8023,                 6.1001,                 2.5003,               0.000548,               0.000548,               0.000548
                     25,                 1.8803,                 2.3485,                 2.6105,                0.16559,                0.36638,                0.12936,                0.04775,                 1.8233,                 3.6138,                 2.5014,               0.000482,               0.000482,               0.000482
                     26,                 1.9171,                 2.3473,                 2.6057,                0.41939,                0.33333,                0.32475,                0.13454,                 1.6713,                 3.0869,                 2.2776,               0.000416,               0.000416,               0.000416
                     27,                 1.8382,                 2.2901,                 2.5585,                0.22057,                 0.2906,                 0.1314,                0.04357,                 1.8991,                 3.6784,                  2.661,                0.00035,                0.00035,                0.00035
                     28,                 1.9066,                 2.3481,                 2.5902,                0.33297,                0.39253,                0.29849,                0.14026,                 1.5841,                 3.4704,                 2.1861,               0.000284,               0.000284,               0.000284
                     29,                 1.8058,                  2.376,                 2.4384,                0.39159,                 0.4188,                 0.3574,                0.14864,                 1.5998,                  2.993,                 2.2015,               0.000218,               0.000218,               0.000218
                     30,                 1.8268,                 2.2537,                 2.5227,                0.37167,                0.40171,                0.34526,                0.14406,                  1.593,                 3.0648,                 2.2184,               0.000152,               0.000152,               0.000152
